Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
102,Nadiem Amiri,GER,MF,Mainz 05,Bundesliga,26.0,1996.0,15,15,1315,14.6,1,4,5,1,0,1,5,0,2.2,1.4,4.3,5.7,16.0,88.0,22.0,0.07,0.27,0.34,0.07,0.34,0.15,0.3,0.45,0.1,0.39
105,Sofyan Amrabat,MAR,MF,Manchester Utd,Premier League,26.0,1996.0,21,10,938,10.4,0,0,0,0,0,0,6,0,0.1,0.1,0.3,0.4,6.0,66.0,10.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04
106,Joachim Andersen,DEN,DF,Crystal Palace,Premier League,27.0,1996.0,38,38,3415,37.9,2,3,5,2,0,0,7,0,1.7,1.7,2.8,4.5,21.0,147.0,10.0,0.05,0.08,0.13,0.05,0.13,0.04,0.07,0.12,0.04,0.12
107,Elliot Anderson,SCO,MF,Newcastle Utd,Premier League,20.0,2002.0,21,10,1027,11.4,0,2,2,0,0,0,3,0,1.5,1.5,1.9,3.5,37.0,57.0,70.0,0.0,0.18,0.18,0.0,0.18,0.13,0.17,0.3,0.13,0.3
108,Felipe Anderson,BRA,FW,Lazio,Serie A,30.0,1993.0,38,33,2770,30.8,5,6,11,5,0,0,3,0,4.4,4.4,6.3,10.7,108.0,126.0,226.0,0.16,0.19,0.36,0.16,0.36,0.14,0.21,0.35,0.14,0.35
109,Benjamin André,FRA,MF,Lille,Ligue 1,32.0,1990.0,30,29,2570,28.6,4,0,4,4,0,0,8,0,2.6,2.6,1.3,3.9,19.0,180.0,37.0,0.14,0.0,0.14,0.14,0.14,0.09,0.05,0.14,0.09,0.14
110,Komnen Andrić,SRB,FW,Clermont Foot,Ligue 1,28.0,1995.0,7,1,169,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.03,0.1,0.12,0.03,0.12
111,Robert Andrich,GER,MF,Leverkusen,Bundesliga,28.0,1994.0,28,18,1690,18.8,4,2,6,4,0,0,4,0,1.7,1.7,1.8,3.5,20.0,97.0,14.0,0.21,0.11,0.32,0.21,0.32,0.09,0.1,0.19,0.09,0.19
112,Miguel Ángel Rubio,ESP,DF,Granada,La Liga,25.0,1998.0,19,17,1560,17.3,1,0,1,1,0,0,5,0,0.8,0.8,0.1,0.9,7.0,27.0,1.0,0.06,0.0,0.06,0.06,0.06,0.05,0.0,0.05,0.05,0.05
113,Angeliño,ESP,DF,Roma,Serie A,26.0,1997.0,16,14,1141,12.7,0,1,1,0,0,0,2,0,0.2,0.2,1.6,1.7,12.0,40.0,55.0,0.0,0.08,0.08,0.0,0.08,0.01,0.12,0.14,0.01,0.14
