Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
412,Marnon Busch,GER,DF,Heidenheim,Bundesliga,28.0,1994.0,16,5,595,6.6,0,0,0,0,0,0,1,0,0.1,0.1,0.3,0.4,15.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06
413,Maxime Busi,BEL,FW,Reims,Ligue 1,23.0,1999.0,5,1,162,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.4,3.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.1,0.11,0.21,0.1,0.21
415,Aurélio Buta,POR,DF,Eint Frankfurt,Bundesliga,26.0,1997.0,30,20,1744,19.4,1,1,2,1,0,0,5,0,0.5,0.5,0.7,1.2,51.0,90.0,104.0,0.05,0.05,0.1,0.05,0.1,0.02,0.04,0.06,0.02,0.06
416,Marcin Bułka,POL,GK,Nice,Ligue 1,23.0,1999.0,34,34,3060,34.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,Rémy Cabella,FRA,FW,Lille,Ligue 1,33.0,1990.0,30,14,1477,16.4,2,2,4,2,0,0,0,0,5.2,5.2,3.3,8.5,72.0,106.0,160.0,0.12,0.12,0.24,0.12,0.24,0.32,0.2,0.52,0.32,0.52
418,Jovane Cabral,CPV,MF,Salernitana,Serie A,25.0,1998.0,12,8,678,7.5,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,22.0,40.0,39.0,0.13,0.0,0.13,0.13,0.13,0.15,0.06,0.21,0.15,0.21
419,Liberato Cacace,NZL,DF,Empoli,Serie A,22.0,2000.0,31,18,1912,21.2,0,1,1,0,0,0,6,0,0.4,0.4,1.7,2.1,34.0,84.0,55.0,0.0,0.05,0.05,0.0,0.05,0.02,0.08,0.1,0.02,0.1
420,Anthony Caci,FRA,DF,Mainz 05,Bundesliga,26.0,1997.0,31,29,2486,27.6,2,3,5,2,0,0,8,0,1.5,1.5,2.9,4.4,43.0,144.0,75.0,0.07,0.11,0.18,0.07,0.18,0.06,0.1,0.16,0.06,0.16
421,Moisés Caicedo,ECU,MF,Chelsea,Premier League,21.0,2001.0,35,33,2866,31.8,1,3,4,1,0,0,11,0,0.4,0.4,2.6,3.0,27.0,173.0,27.0,0.03,0.09,0.13,0.03,0.13,0.01,0.08,0.09,0.01,0.09
422,Tom Cairney,SCO,MF,Fulham,Premier League,32.0,1991.0,34,14,1488,16.5,1,4,5,1,0,0,3,0,1.1,1.1,2.3,3.4,35.0,145.0,72.0,0.06,0.24,0.3,0.06,0.3,0.07,0.14,0.2,0.07,0.2
423,Jens Cajuste,SWE,MF,Napoli,Serie A,23.0,1999.0,26,11,1016,11.3,0,2,2,0,0,0,7,0,1.5,1.5,1.1,2.5,19.0,37.0,53.0,0.0,0.18,0.18,0.0,0.18,0.13,0.09,0.22,0.13,0.22
424,Davide Calabria,ITA,DF,Milan,Serie A,26.0,1996.0,29,26,2185,24.3,1,3,4,1,0,0,5,2,1.3,1.3,1.2,2.5,31.0,140.0,66.0,0.04,0.12,0.16,0.04,0.16,0.05,0.05,0.1,0.05,0.1
425,Riccardo Calafiori,ITA,DF,Bologna,Serie A,21.0,2002.0,30,26,2349,26.1,2,5,7,2,0,0,4,0,1.4,1.4,1.2,2.6,28.0,96.0,23.0,0.08,0.19,0.27,0.08,0.27,0.05,0.05,0.1,0.05,0.1
427,Luca Caldirola,ITA,DF,Monza,Serie A,32.0,1991.0,29,23,2141,23.8,1,1,2,1,0,0,7,1,0.5,0.5,0.6,1.1,10.0,56.0,9.0,0.04,0.04,0.08,0.04,0.08,0.02,0.03,0.04,0.02,0.04
428,Duje Ćaleta-Car,CRO,DF,Lyon,Ligue 1,26.0,1996.0,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.5,0.5,1.0,1.5,5.0,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07
429,Hakan Çalhanoğlu,TUR,MF,Inter,Serie A,29.0,1994.0,32,32,2556,28.4,13,3,16,3,10,10,5,0,10.1,2.3,4.7,7.0,45.0,186.0,34.0,0.46,0.11,0.56,0.11,0.21,0.36,0.17,0.52,0.08,0.25
430,José Callejón,ESP,MF,Granada,La Liga,36.0,1987.0,25,7,803,8.9,0,1,1,0,0,0,2,0,1.3,1.3,1.5,2.8,10.0,35.0,50.0,0.0,0.11,0.11,0.0,0.11,0.15,0.17,0.32,0.15,0.32
431,Dominic Calvert-Lewin,ENG,FW,Everton,Premier League,26.0,1997.0,32,26,2171,24.1,7,2,9,5,2,2,2,0,12.9,11.4,3.1,14.5,36.0,31.0,122.0,0.29,0.08,0.37,0.21,0.29,0.54,0.13,0.66,0.47,0.6
432,Lamine Camara,SEN,MF,Metz,Ligue 1,19.0,2004.0,31,26,2255,25.1,1,4,5,1,0,1,3,0,2.2,1.4,3.3,4.7,23.0,97.0,69.0,0.04,0.16,0.2,0.04,0.2,0.09,0.13,0.22,0.06,0.19
433,Mahdi Camara,FRA,MF,Brest,Ligue 1,25.0,1998.0,32,26,2020,22.4,7,3,10,6,1,1,7,0,4.9,4.1,3.1,7.1,37.0,81.0,129.0,0.31,0.13,0.45,0.27,0.4,0.22,0.14,0.35,0.18,0.32
434,Mohamed Camara,MLI,MF,Monaco,Ligue 1,23.0,2000.0,20,14,1035,11.5,1,2,3,0,1,1,4,0,1.5,0.7,0.6,1.3,14.0,76.0,22.0,0.09,0.17,0.26,0.0,0.17,0.13,0.06,0.18,0.06,0.11
436,Eduardo Camavinga,FRA,MF,Real Madrid,La Liga,20.0,2002.0,31,21,1817,20.2,0,2,2,0,0,0,9,0,0.9,0.9,1.4,2.3,49.0,106.0,31.0,0.0,0.1,0.1,0.0,0.1,0.05,0.07,0.11,0.05,0.11
437,Nicolò Cambiaghi,ITA,FW,Empoli,Serie A,22.0,2000.0,37,29,2553,28.4,1,1,2,1,0,0,3,0,3.9,3.9,2.8,6.7,128.0,63.0,197.0,0.04,0.04,0.07,0.04,0.07,0.14,0.1,0.24,0.14,0.24
438,Andrea Cambiaso,ITA,DF,Juventus,Serie A,23.0,2000.0,34,28,2372,26.4,2,3,5,2,0,0,10,0,2.2,2.2,3.9,6.0,87.0,71.0,172.0,0.08,0.11,0.19,0.08,0.19,0.08,0.15,0.23,0.08,0.23
440,Sergio Camello,ESP,FW,Rayo Vallecano,La Liga,22.0,2001.0,31,20,1661,18.5,3,1,4,3,0,0,3,0,4.5,4.5,1.3,5.8,22.0,41.0,79.0,0.16,0.05,0.22,0.16,0.22,0.24,0.07,0.31,0.24,0.31
441,José Campaña,ESP,MF,Las Palmas,La Liga,30.0,1993.0,8,1,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.01
442,Emre Can,GER,MF,Dortmund,Bundesliga,29.0,1994.0,25,22,1953,21.7,2,2,4,0,2,2,5,0,2.2,0.6,1.5,2.0,35.0,110.0,18.0,0.09,0.09,0.18,0.0,0.09,0.1,0.07,0.17,0.03,0.09
443,Matteo Cancellieri,ITA,FW,Empoli,Serie A,21.0,2002.0,36,18,1788,19.9,4,3,7,4,0,0,7,0,4.7,4.7,2.9,7.6,48.0,26.0,138.0,0.2,0.15,0.35,0.2,0.35,0.24,0.15,0.38,0.24,0.38
444,João Cancelo,POR,DF,Barcelona,La Liga,29.0,1994.0,32,29,2503,27.8,2,4,6,2,0,0,7,0,1.6,1.6,6.1,7.7,106.0,141.0,193.0,0.07,0.14,0.22,0.07,0.22,0.06,0.22,0.28,0.06,0.28
445,Fali Candé,GNB,DF,Metz,Ligue 1,25.0,1998.0,25,20,1849,20.5,0,1,1,0,0,0,4,0,0.8,0.8,0.5,1.3,4.0,38.0,3.0,0.0,0.05,0.05,0.0,0.05,0.04,0.02,0.06,0.04,0.06
446,Antonio Candreva,ITA,MF,Salernitana,Serie A,36.0,1987.0,34,32,2750,30.6,6,6,12,5,1,1,5,0,4.9,4.1,5.0,9.1,67.0,149.0,182.0,0.2,0.2,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.3
448,Sergi Canós,ESP,MF,Valencia,La Liga,26.0,1997.0,27,15,1229,13.7,1,2,3,1,0,0,1,0,2.8,2.8,2.4,5.3,32.0,52.0,88.0,0.07,0.15,0.22,0.07,0.22,0.21,0.18,0.39,0.21,0.39
451,Étienne Capoue,FRA,MF,Villarreal,La Liga,35.0,1988.0,32,15,1455,16.2,1,1,2,1,0,0,8,0,1.0,1.0,0.6,1.6,24.0,80.0,38.0,0.06,0.06,0.12,0.06,0.12,0.06,0.04,0.1,0.06,0.1
452,Gianluca Caprari,ITA,MF,Monza,Serie A,30.0,1993.0,6,4,285,3.2,0,0,0,0,0,0,0,0,0.7,0.7,0.7,1.4,11.0,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.22,0.23,0.44,0.22,0.44
453,Elia Caprile,ITA,GK,Empoli,Serie A,21.0,2001.0,23,23,2070,23.0,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
454,Francesco Caputo,ITA,FW,Empoli,Serie A,35.0,1987.0,20,15,1268,14.1,3,0,3,2,1,1,0,0,3.4,2.6,0.7,3.4,7.0,18.0,65.0,0.21,0.0,0.21,0.14,0.14,0.24,0.05,0.3,0.19,0.24
455,Maxence Caqueret,FRA,MF,Lyon,Ligue 1,23.0,2000.0,34,34,3022,33.6,1,3,4,1,0,0,1,0,2.1,2.1,6.0,8.1,70.0,286.0,96.0,0.03,0.09,0.12,0.03,0.12,0.06,0.18,0.24,0.06,0.24
456,Andrea Carboni,ITA,DF,Monza,Serie A,22.0,2001.0,21,16,1487,16.5,1,0,1,1,0,0,1,0,1.2,1.2,0.5,1.7,13.0,46.0,22.0,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.1,0.07,0.1
457,Valentin Carboni,ARG,MF,Monza,Serie A,18.0,2005.0,31,10,1169,13.0,2,3,5,2,0,0,2,0,2.3,2.3,1.7,4.0,52.0,57.0,75.0,0.15,0.23,0.38,0.15,0.38,0.18,0.13,0.31,0.18,0.31
458,Isaac Carcelen,ESP,DF,Cádiz,La Liga,30.0,1993.0,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.6,0.6,1.0,1.6,25.0,75.0,70.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.06,0.02,0.06
461,Marc Cardona,ESP,FW,Las Palmas,La Liga,28.0,1995.0,25,6,723,8.0,4,1,5,3,1,1,4,0,4.2,3.5,1.1,4.5,10.0,13.0,74.0,0.5,0.12,0.62,0.37,0.5,0.52,0.13,0.65,0.42,0.55
462,Sergi Cardona,ESP,DF,Las Palmas,La Liga,24.0,1999.0,35,30,2814,31.3,1,2,3,1,0,0,11,0,2.7,2.7,2.8,5.5,60.0,160.0,165.0,0.03,0.06,0.1,0.03,0.1,0.09,0.09,0.18,0.09,0.18
463,Johnny Cardoso,USA,MF,Betis,La Liga,21.0,2001.0,17,15,1328,14.8,1,2,3,1,0,0,3,0,1.1,1.1,0.5,1.6,10.0,45.0,11.0,0.07,0.14,0.2,0.07,0.2,0.07,0.03,0.11,0.07,0.11
464,Igor Carioca,BRA,DF,Lorient,Ligue 1,26.0,1996.0,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,6.0,8.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01,0.09,0.1,0.01,0.1
465,Diego Carlos,BRA,DF,Aston Villa,Premier League,30.0,1993.0,27,20,1816,20.2,0,0,0,0,0,0,4,0,1.9,1.9,0.1,2.0,4.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.1
466,Carmona,ESP,DF,Getafe,La Liga,21.0,2002.0,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.8,0.8,1.0,1.8,29.0,39.0,55.0,0.07,0.07,0.14,0.07,0.14,0.06,0.07,0.12,0.06,0.12
467,Marco Carnesecchi,ITA,GK,Atalanta,Serie A,23.0,2000.0,27,27,2425,26.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,Yannick Carrasco,BEL,DF,Atlético Madrid,La Liga,29.0,1993.0,3,3,221,2.5,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,9.0,6.0,17.0,0.0,0.41,0.41,0.0,0.41,0.03,0.1,0.12,0.03,0.12
469,Álvaro Carreras,ESP,MF,Granada,La Liga,20.0,2003.0,13,5,475,5.3,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.8,13.0,14.0,31.0,0.0,0.0,0.0,0.0,0.0,0.07,0.08,0.15,0.07,0.15
470,Rasmus Carstensen,DEN,DF,Köln,Bundesliga,22.0,2000.0,23,18,1659,18.4,0,0,0,0,0,0,2,1,0.9,0.9,2.6,3.5,32.0,52.0,89.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.19,0.05,0.19
472,Dani Carvajal,ESP,DF,Real Madrid,La Liga,31.0,1992.0,28,25,2171,24.1,4,3,7,4,0,0,5,1,1.7,1.7,2.7,4.4,30.0,82.0,168.0,0.17,0.12,0.29,0.17,0.29,0.07,0.11,0.18,0.07,0.18
473,Fabio Carvalho,POR,MF,RB Leipzig,Bundesliga,20.0,2002.0,9,1,165,1.8,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.5,8.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.12,0.13,0.25,0.12,0.25
474,William Carvalho,POR,MF,Betis,La Liga,31.0,1992.0,22,4,680,7.6,1,3,4,1,0,0,2,0,0.4,0.4,0.7,1.1,12.0,58.0,12.0,0.13,0.4,0.53,0.13,0.53,0.05,0.09,0.14,0.05,0.14
477,Nicolò Casale,ITA,DF,Lazio,Serie A,25.0,1998.0,20,16,1559,17.3,0,0,0,0,0,0,5,0,0.9,0.9,0.0,0.9,20.0,49.0,4.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
478,Casemiro,BRA,MF,Manchester Utd,Premier League,31.0,1992.0,25,24,1982,22.0,1,2,3,1,0,0,7,0,3.5,3.5,1.0,4.5,12.0,112.0,36.0,0.05,0.09,0.14,0.05,0.14,0.16,0.05,0.2,0.16,0.2
480,Matty Cash,POL,DF,Aston Villa,Premier League,25.0,1997.0,29,23,2142,23.8,2,2,4,2,0,0,8,0,4.2,4.2,2.3,6.5,62.0,88.0,101.0,0.08,0.08,0.17,0.08,0.17,0.18,0.1,0.27,0.18,0.27
481,Josué Casimir,FRA,FW,Le Havre,Ligue 1,21.0,2001.0,30,25,2016,22.4,0,5,5,0,0,0,6,0,1.9,1.9,4.3,6.3,59.0,62.0,138.0,0.0,0.22,0.22,0.0,0.22,0.09,0.19,0.28,0.09,0.28
482,Giuseppe Caso,ITA,FW,Frosinone,Serie A,24.0,1998.0,14,2,417,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.4,15.0,20.0,37.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1
483,Cristian Cásseres Jr.,VEN,MF,Toulouse,Ligue 1,23.0,2000.0,32,23,1946,21.6,1,3,4,1,0,0,1,0,1.1,1.1,1.7,2.8,14.0,87.0,52.0,0.05,0.14,0.18,0.05,0.18,0.05,0.08,0.13,0.05,0.13
484,Timothy Castagne,BEL,DF,Fulham,Premier League,27.0,1995.0,34,29,2634,29.3,1,3,4,1,0,0,3,0,1.6,1.6,1.9,3.5,48.0,77.0,113.0,0.03,0.1,0.14,0.03,0.14,0.06,0.07,0.12,0.06,0.12
485,Koen Casteels,BEL,GK,Wolfsburg,Bundesliga,31.0,1992.0,25,25,2250,25.0,0,0,0,0,0,0,2,0,0.0,0.0,0.2,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
486,Valentín Castellanos,ARG,FW,Lazio,Serie A,24.0,1998.0,35,16,1682,18.7,4,3,7,4,0,0,2,0,7.3,7.3,1.7,8.9,15.0,47.0,132.0,0.21,0.16,0.37,0.21,0.37,0.39,0.09,0.48,0.39,0.48
487,Jean-Charles Castelletto,CMR,DF,Nantes,Ligue 1,28.0,1995.0,28,28,2464,27.4,2,0,2,2,0,0,5,0,0.6,0.6,0.8,1.4,24.0,100.0,31.0,0.07,0.0,0.07,0.07,0.07,0.02,0.03,0.05,0.02,0.05
488,Samu Castillejo,ESP,FW,Sassuolo,Serie A,28.0,1995.0,17,6,536,6.0,0,0,0,0,0,0,2,0,0.3,0.3,1.0,1.2,27.0,26.0,45.0,0.0,0.0,0.0,0.0,0.0,0.04,0.16,0.21,0.04,0.21
490,Santiago Castro,ARG,FW,Bologna,Serie A,18.0,2004.0,8,2,242,2.7,1,1,2,1,0,0,1,0,1.0,1.0,0.5,1.5,1.0,1.0,15.0,0.37,0.37,0.74,0.37,0.74,0.35,0.2,0.55,0.35,0.55
491,Gaetano Castrovilli,ITA,FW,Fiorentina,Serie A,26.0,1997.0,6,5,367,4.1,1,2,3,1,0,0,0,0,0.3,0.3,0.6,0.9,14.0,12.0,25.0,0.25,0.49,0.74,0.25,0.74,0.08,0.15,0.23,0.08,0.23
492,Danilo Cataldi,ITA,MF,Lazio,Serie A,28.0,1994.0,28,15,1361,15.1,1,0,1,1,0,0,8,0,0.4,0.4,0.8,1.1,9.0,69.0,7.0,0.07,0.0,0.07,0.07,0.07,0.02,0.05,0.08,0.02,0.08
493,Catena,ESP,DF,Osasuna,La Liga,28.0,1994.0,30,28,2534,28.2,1,3,4,1,0,0,8,1,1.3,1.3,1.0,2.4,5.0,77.0,1.0,0.04,0.11,0.14,0.04,0.14,0.05,0.04,0.08,0.05,0.08
494,Maximiliano Caufriez,BEL,DF,Clermont Foot,Ligue 1,26.0,1997.0,20,20,1659,18.4,0,1,1,0,0,0,6,3,0.4,0.4,0.2,0.6,24.0,61.0,11.0,0.0,0.05,0.05,0.0,0.05,0.02,0.01,0.03,0.02,0.03
495,Ivan Cavaleiro,POR,FW,Lille,Ligue 1,29.0,1993.0,17,9,770,8.6,1,1,2,1,0,0,1,0,1.3,1.3,1.2,2.5,18.0,23.0,77.0,0.12,0.12,0.23,0.12,0.23,0.15,0.15,0.29,0.15,0.29
496,Dani Ceballos,ESP,MF,Real Madrid,La Liga,26.0,1996.0,20,5,598,6.6,0,2,2,0,0,0,2,0,0.3,0.3,1.5,1.8,16.0,47.0,23.0,0.0,0.3,0.3,0.0,0.3,0.05,0.22,0.27,0.05,0.27
497,Emil Ceide,NOR,FW,Sassuolo,Serie A,21.0,2001.0,11,0,176,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,12.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05,0.12,0.17,0.05,0.17
498,Zeki Çelik,TUR,DF,Roma,Serie A,26.0,1997.0,17,6,671,7.5,0,0,0,0,0,0,1,0,0.2,0.2,0.6,0.8,14.0,26.0,38.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.11,0.02,0.11
499,Álex Centelles,ESP,DF,Almería,La Liga,25.0,1997.0,14,11,980,10.9,0,1,1,0,0,0,2,0,0.0,0.0,1.6,1.6,16.0,31.0,53.0,0.0,0.09,0.09,0.0,0.09,0.0,0.14,0.15,0.0,0.15
500,Fabien Centonze,FRA,DF,Hellas Verona,Serie A,27.0,1996.0,10,7,676,7.5,0,1,1,0,0,0,2,0,0.0,0.0,1.0,1.1,16.0,14.0,21.0,0.0,0.13,0.13,0.0,0.13,0.0,0.14,0.14,0.0,0.14
501,Fabien Centonze,FRA,DF,Nantes,Ligue 1,27.0,1996.0,3,1,94,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
502,Václav Černý,CZE,FW,Wolfsburg,Bundesliga,25.0,1997.0,22,12,921,10.2,4,1,5,4,0,0,2,0,2.3,2.3,0.9,3.2,26.0,37.0,83.0,0.39,0.1,0.49,0.39,0.49,0.22,0.09,0.31,0.22,0.31
503,Michele Cerofolini,ITA,GK,Frosinone,Serie A,24.0,1999.0,8,7,675,7.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
504,Alberto Cerri,ITA,FW,Empoli,Serie A,27.0,1996.0,12,10,545,6.1,1,0,1,1,0,0,2,0,1.2,1.2,0.2,1.4,3.0,9.0,23.0,0.17,0.0,0.17,0.17,0.17,0.19,0.04,0.23,0.19,0.23
506,Franco Cervi,ARG,MF,Celta Vigo,La Liga,29.0,1994.0,17,5,546,6.1,0,1,1,0,0,0,2,0,0.5,0.5,2.0,2.5,16.0,24.0,36.0,0.0,0.16,0.16,0.0,0.16,0.08,0.34,0.41,0.08,0.41
507,Julian Chabot,GER,DF,Köln,Bundesliga,25.0,1998.0,32,32,2703,30.0,0,0,0,0,0,0,9,1,1.4,1.4,0.4,1.8,17.0,71.0,8.0,0.0,0.0,0.0,0.0,0.0,0.05,0.01,0.06,0.05,0.06
510,Fares Chaïbi,ALG,MF,Eint Frankfurt,Bundesliga,20.0,2002.0,28,21,1912,21.2,2,4,6,2,0,0,2,0,3.1,3.1,6.8,9.8,53.0,86.0,143.0,0.09,0.19,0.28,0.09,0.28,0.14,0.32,0.46,0.14,0.46
511,Trevoh Chalobah,ENG,DF,Chelsea,Premier League,24.0,1999.0,13,10,952,10.6,1,0,1,1,0,0,1,0,0.2,0.2,0.1,0.3,5.0,31.0,9.0,0.09,0.0,0.09,0.09,0.09,0.02,0.01,0.02,0.02,0.02
512,Muhammed Cham,AUT,MF,Clermont Foot,Ligue 1,22.0,2000.0,33,29,2554,28.4,8,4,12,4,4,5,4,0,9.4,5.5,3.1,8.7,71.0,161.0,142.0,0.28,0.14,0.42,0.14,0.28,0.33,0.11,0.44,0.19,0.31
513,Calum Chambers,ENG,MF,Aston Villa,Premier League,28.0,1995.0,5,1,152,1.7,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,5.0,1.0,0.0,0.59,0.59,0.0,0.59,0.0,0.06,0.06,0.0,0.06
515,Brendan Chardonnet,FRA,DF,Brest,Ligue 1,28.0,1994.0,33,33,2970,33.0,1,1,2,1,0,0,4,0,1.5,1.5,1.6,3.1,25.0,115.0,8.0,0.03,0.03,0.06,0.03,0.06,0.04,0.05,0.09,0.04,0.09
517,Pep Chavarría,ESP,DF,Rayo Vallecano,La Liga,25.0,1998.0,22,12,1167,13.0,1,1,2,1,0,0,6,1,1.0,1.0,0.7,1.7,28.0,74.0,84.0,0.08,0.08,0.15,0.08,0.15,0.07,0.05,0.13,0.07,0.13
518,Jhoanner Chávez,ECU,DF,Lens,Ligue 1,21.0,2002.0,8,6,481,5.3,0,0,0,0,0,0,1,0,0.3,0.3,0.5,0.8,4.0,15.0,19.0,0.0,0.0,0.0,0.0,0.0,0.06,0.08,0.14,0.06,0.14
519,Walid Cheddira,MAR,FW,Frosinone,Serie A,25.0,1998.0,36,24,2120,23.6,7,1,8,6,1,1,0,0,9.0,8.2,1.4,9.6,31.0,22.0,139.0,0.3,0.04,0.34,0.25,0.3,0.38,0.06,0.44,0.35,0.41
520,Rayan Cherki,FRA,MF,Lyon,Ligue 1,19.0,2003.0,33,19,1719,19.1,1,6,7,1,0,0,0,0,5.2,5.2,4.2,9.4,93.0,138.0,182.0,0.05,0.31,0.37,0.05,0.37,0.27,0.22,0.49,0.27,0.49
521,Youssef Chermiti,POR,FW,Everton,Premier League,19.0,2004.0,18,1,208,2.3,0,0,0,0,0,0,3,0,0.7,0.7,0.8,1.5,5.0,5.0,15.0,0.0,0.0,0.0,0.0,0.0,0.31,0.34,0.65,0.31,0.65
522,Lucas Chevalier,FRA,GK,Lille,Ligue 1,21.0,2001.0,33,33,2969,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
523,Fabio Chiarodia,ITA,DF,Gladbach,Bundesliga,18.0,2005.0,7,1,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.0,0.07
524,Federico Chiesa,ITA,FW,Juventus,Serie A,25.0,1997.0,33,25,2197,24.4,9,2,11,8,1,1,1,0,6.4,5.6,6.2,11.9,111.0,70.0,216.0,0.37,0.08,0.45,0.33,0.41,0.26,0.25,0.52,0.23,0.49
525,Ben Chilwell,ENG,DF,Chelsea,Premier League,26.0,1996.0,13,9,756,8.4,0,1,1,0,0,0,5,0,1.2,1.2,2.2,3.4,22.0,25.0,59.0,0.0,0.12,0.12,0.0,0.12,0.14,0.26,0.41,0.14,0.41
526,Tawanda Chirewa,ZIM,MF,Wolves,Premier League,19.0,2003.0,8,1,145,1.6,0,0,0,0,0,0,1,0,0.2,0.2,0.0,0.2,1.0,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.1,0.02,0.12,0.1,0.12
527,Pedro Chirivella,ESP,MF,Nantes,Ligue 1,26.0,1997.0,32,31,2594,28.8,1,1,2,1,0,0,5,0,1.5,1.5,1.1,2.6,10.0,192.0,55.0,0.03,0.03,0.07,0.03,0.07,0.05,0.04,0.09,0.05,0.09
528,Leon Chiwome,ENG,FW,Wolves,Premier League,17.0,2006.0,3,2,174,1.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05
529,Tahith Chong,NED,MF,Luton Town,Premier League,23.0,1999.0,33,20,1982,22.0,4,0,4,4,0,0,4,0,2.7,2.7,0.5,3.2,57.0,72.0,101.0,0.18,0.0,0.18,0.18,0.18,0.12,0.02,0.15,0.12,0.15
530,Joris Chotard,FRA,MF,Montpellier,Ligue 1,21.0,2001.0,31,30,2587,28.7,0,3,3,0,0,0,5,0,0.6,0.6,1.9,2.6,12.0,111.0,40.0,0.0,0.1,0.1,0.0,0.1,0.02,0.07,0.09,0.02,0.09
531,Andreas Christensen,DEN,DF,Barcelona,La Liga,27.0,1996.0,30,27,1979,22.0,2,2,4,2,0,0,4,0,1.0,1.0,1.1,2.2,24.0,117.0,6.0,0.09,0.09,0.18,0.09,0.18,0.05,0.05,0.1,0.05,0.1
532,Jacob Christensen,DEN,MF,Köln,Bundesliga,22.0,2001.0,7,2,219,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05
533,Oliver Christensen,DEN,GK,Fiorentina,Serie A,24.0,1999.0,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
